TS_DIRETOR;;;;;;;
;;;;;;;
Variável;Tipo;Tamanho;Descrição;Código de Preenchimento;;;
TX_Q012;CHAR;1;INFORMAÇÕES PESSOAIS E CONDIÇÕES DE TRABALHO;Indique qual a sua condição. Transtorno do espectro autista.;Regra de dependência: se Q010= “Sim”, abre o item Q011 a Q013.;A;Não
;CHAR;;INFORMAÇÕES PESSOAIS E CONDIÇÕES DE TRABALHO;Indique qual a sua condição. Transtorno do espectro autista.;Regra de dependência: se Q010= “Sim”, abre o item Q011 a Q013.;B;Sim
TX_Q013;CHAR;1;INFORMAÇÕES PESSOAIS E CONDIÇÕES DE TRABALHO;Indique qual a sua condição. Altas habilidades/superdotação.;Regra de dependência: se Q010= “Sim”, abre o item Q011 a Q013.;A;Não
;CHAR;;INFORMAÇÕES PESSOAIS E CONDIÇÕES DE TRABALHO;Indique qual a sua condição. Altas habilidades/superdotação.;Regra de dependência: se Q010= “Sim”, abre o item Q011 a Q013.;B;Sim
TX_Q014;CHAR;1;INFORMAÇÕES PESSOAIS E CONDIÇÕES DE TRABALHO;Qual é o MAIS ALTO nível de escolaridade que você concluiu?;;A;Ensino Fundamental.
;CHAR;;INFORMAÇÕES PESSOAIS E CONDIÇÕES DE TRABALHO;Qual é o MAIS ALTO nível de escolaridade que você concluiu?;;B;Ensino Médio.
;CHAR;;INFORMAÇÕES PESSOAIS E CONDIÇÕES DE TRABALHO;Qual é o MAIS ALTO nível de escolaridade que você concluiu?;;C;Graduação.
;CHAR;;INFORMAÇÕES PESSOAIS E CONDIÇÕES DE TRABALHO;Qual é o MAIS ALTO nível de escolaridade que você concluiu?;;D;Especialização.
;CHAR;;INFORMAÇÕES PESSOAIS E CONDIÇÕES DE TRABALHO;Qual é o MAIS ALTO nível de escolaridade que você concluiu?;;E;Mestrado.
;CHAR;;INFORMAÇÕES PESSOAIS E CONDIÇÕES DE TRABALHO;Qual é o MAIS ALTO nível de escolaridade que você concluiu?;;F;Doutorado.
TX_Q015_A;NUM;2;INFORMAÇÕES PESSOAIS E CONDIÇÕES DE TRABALHO;Quanto anos você trabalhou como professor(a) antes de se tornar diretor(a)?;;slidebar;0-30
TX_Q015_B;CHAR;1;INFORMAÇÕES PESSOAIS E CONDIÇÕES DE TRABALHO;Quanto anos você trabalhou como professor(a) antes de se tornar diretor(a)? Nunca trabalhei;;B;Nunca trabalhei.
TX_Q016;NUM;2;INFORMAÇÕES PESSOAIS E CONDIÇÕES DE TRABALHO;Há quantos anos você exerce a função de diretor(a) de escola?;;slidebar;0-30
TX_Q017;NUM;2;INFORMAÇÕES PESSOAIS E CONDIÇÕES DE TRABALHO;Há quantos anos você é diretor(a) desta escola?;;slidebar;0-30
