;;;;;;;;;Formações;;;;Projetos;;;;Avaliações;;;;;CENSO;;;;;;;
;;;;;;;;;2021;;2022;;2021;;2022;;2021 - entrada;2021 - formativa;2021 - saída;2022 - entrada; 2022 - saída;;;;;;;;
Estado;Município;Cod Escola;Escola;Rede;Escola aderiu?;Data de adesão da escola;Rede aderiu?;Data de adesão da rede;Aprovados - formação professores;Aprovados - formação gestores;Aprovados - formação professores;Aprovados - formação gestores;Projetos selecionados;Projetos concluídos;Projetos selecionados;Projetos concluídos;Alunos avaliados LF - Março 21;Alunos avaliados LF - Agosto 21;Alunos avaliados LF - Novembro 21;Alunos avaliados LF - Abril 22;Alunos avaliados LF - Out 22;Qtde matrículas;Qtde turmas;Qtde docentes;Qtde diretores;Localização;Indígena ou Quilombola;;
PERNAMBUCO;RECIFE;26127636;ESCOLA EDUCADOR PAULO FREIRE;ESTADUAL;Sim;03/08/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;63;0;0;0;444;13;15;1;Urbana;0;;
PERNAMBUCO;RECIFE;26127695;ESCOLA JOAQUIM XAVIER DE BRITO;ESTADUAL;Sim;30/07/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;30;0;0;0;467;15;22;1;Urbana;0;;
PERNAMBUCO;RECIFE;26127792;ESCOLA MUNICIPAL SAO DOMINGOS;MUNICIPAL;Sim;30/07/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;324;16;16;1;Urbana;0;;
PERNAMBUCO;RECIFE;26127857;ESCOLA FERNANDES VIEIRA;ESTADUAL;Sim;05/08/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;358;10;9;1;Urbana;0;;
PERNAMBUCO;RECIFE;26127865;ESCOLA PROFESSOR CANDIDO DUARTE;ESTADUAL;Sim;31/07/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;69;0;0;0;306;8;10;2;Urbana;0;;
PERNAMBUCO;RECIFE;26128160;ESCOLA DOUTOR FABIO CORREA;ESTADUAL;Sim;29/07/2021;Sim;06/07/2021;0;0;0;0;2;0;0;0;0;47;0;57;0;675;18;21;1;Urbana;0;;
PERNAMBUCO;RECIFE;26128179;ESCOLA DOUTOR FRANCISCO PESSOA DE QUEIROZ;ESTADUAL;Sim;02/08/2021;Sim;06/07/2021;2;0;0;0;2;0;0;0;0;72;64;0;0;340;10;18;1;Urbana;0;;
PERNAMBUCO;RECIFE;26128268;ESCOLA MUNICIPAL LUIZ LUA GONZAGA;MUNICIPAL;Sim;27/07/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;223;12;9;0;Urbana;0;;
PERNAMBUCO;RECIFE;26128322;ESCOLA MUNICIPAL NOVO HORIZONTE;MUNICIPAL;Sim;27/07/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;34;0;0;0;225;13;12;1;Urbana;0;;
PERNAMBUCO;RECIFE;26128390;ESCOLA MUNICIPAL PAULO VI;MUNICIPAL;Sim;31/07/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;390;14;13;2;Urbana;0;;
PERNAMBUCO;RECIFE;26128454;ESCOLA PROFESSOR JOSE DOS ANJOS;ESTADUAL;Sim;23/07/2021;Sim;06/07/2021;0;0;0;0;3;0;0;0;0;406;144;82;0;875;20;23;1;Urbana;0;;
PERNAMBUCO;RECIFE;26128462;ESCOLA PROFESSOR PEDRO AUGUSTO CARNEIRO LEAO;ESTADUAL;Sim;05/08/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;833;19;23;1;Urbana;0;;
PERNAMBUCO;RECIFE;26128527;ESCOLA ROTARY DO ALTO DO PASCOAL;ESTADUAL;Sim;30/07/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;481;13;25;0;Urbana;0;;
PERNAMBUCO;RECIFE;26128560;ESCOLA SAO FRANCISCO DE ASSIS - RN;ESTADUAL;Sim;30/07/2021;Sim;06/07/2021;2;0;0;0;2;2;0;0;0;65;45;77;0;535;14;18;1;Urbana;0;;
PERNAMBUCO;RECIFE;26128586;ESCOLA SAO JUDAS TADEU;ESTADUAL;Sim;28/03/2022;Sim;06/07/2021;0;1;0;0;0;0;0;0;0;0;0;71;0;487;12;18;1;Urbana;0;;
PERNAMBUCO;RECIFE;26128594;ESCOLA SAO MIGUEL;ESTADUAL;Sim;05/08/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;390;14;24;0;Urbana;0;;
PERNAMBUCO;RECIFE;26128640;ESCOLA MUNICIPAL ANTONIO HERACLIO DO REGO;MUNICIPAL;Sim;26/03/2022;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;317;12;12;1;Urbana;0;;
PERNAMBUCO;RECIFE;26128659;ESCOLA MUNICIPAL ANTONIO LUIZ;MUNICIPAL;Sim;14/03/2022;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;14;0;129;9;9;1;Urbana;0;;
PERNAMBUCO;RECIFE;26128926;ESCOLA MUNICIPAL ANITA PAES BARRETO;MUNICIPAL;Sim;05/08/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;99;5;4;2;Urbana;0;;
PERNAMBUCO;RECIFE;26128934;ESCOLA MUNICIPAL OLINDINA MONTEIRO DE OLIVEIRA FRANCA;MUNICIPAL;Sim;28/07/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;498;20;23;1;Urbana;0;;
PERNAMBUCO;RECIFE;26128950;ESCOLA MUNICIPAL IRMA TEREZINHA BATISTA - PROJ NOVO VIVER;MUNICIPAL;Sim;05/08/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;2;0;0;0;329;17;15;4;Urbana;0;;
PERNAMBUCO;RECIFE;26133389;ESCOLA MUNICIPAL NADIR COLACO;MUNICIPAL;Sim;29/07/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;452;15;15;2;Urbana;0;;
PERNAMBUCO;RECIFE;26134049;ESCOLA MUNICIPAL NOSSA SENHORA DA PENHA;MUNICIPAL;Sim;05/08/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;214;10;9;0;Urbana;0;;
PERNAMBUCO;RECIFE;26134057;ESCOLA MUNICIPAL MANOEL ROLIM;MUNICIPAL;Sim;05/08/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;127;10;8;3;Urbana;0;;
PERNAMBUCO;RECIFE;26134067;ESCOLA MUNICIPAL SEVERINA BERNADETE TEIXEIRA;MUNICIPAL;Sim;29/07/2021;Sim;20/07/2021;0;1;0;0;1;0;0;0;0;34;48;92;0;263;12;10;1;Urbana;0;;
PERNAMBUCO;RECIFE;26134350;ESCOLA PADRE DONINO;ESTADUAL;Sim;29/07/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;25;0;0;0;184;10;9;2;Urbana;0;;
PERNAMBUCO;RECIFE;26134379;ESCOLA MUNICIPAL SANTO AMARO;MUNICIPAL;Sim;27/07/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;53;0;0;0;407;20;14;1;Urbana;0;;
PERNAMBUCO;RECIFE;26136300;ESCOLA MUNICIPAL ALTO DO MARACANA;MUNICIPAL;Sim;05/08/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;323;13;10;2;Urbana;0;;
PERNAMBUCO;RECIFE;26139090;ESCOLA MUNICIPAL PROFESSOR FLORESTAN FERNANDES;MUNICIPAL;Sim;02/08/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;640;21;29;1;Urbana;0;;
PERNAMBUCO;RECIFE;26139723;ESCOLA MUNICIPAL ALTO SANTA TEREZINHA;MUNICIPAL;Sim;02/08/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;53;0;0;0;448;20;16;2;Urbana;0;;
PERNAMBUCO;RECIFE;26147300;ESCOLA MUNICIPAL NOSSA SENHORA DO PILAR;MUNICIPAL;Sim;28/07/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;170;10;9;2;Urbana;0;;
PERNAMBUCO;RECIFE;26153386;ESCOLA MUNICIPAL PROFESSOR ANTONIO DE BRITO ALVES;MUNICIPAL;Sim;30/07/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;32;0;0;0;724;26;29;1;Urbana;0;;
PERNAMBUCO;RECIFE;26153491;ESCOLA MONS MANOEL LEONARDO DE BARROS BARRETO;ESTADUAL;Sim;30/07/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;536;14;16;1;Urbana;0;;
PERNAMBUCO;RECIFE;26153599;ESCOLA MUNICIPAL PROFESSOR RICARDO GAMA;MUNICIPAL;Sim;05/08/2021;Sim;20/07/2021;0;1;0;0;1;0;0;0;0;0;0;0;0;485;20;11;1;Urbana;0;;
PERNAMBUCO;RECIFE;26155850;ESCOLA MUNICIPAL DINA DE OLIVEIRA;MUNICIPAL;Sim;29/07/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;138;154;0;0;666;30;22;1;Urbana;0;;
PERNAMBUCO;RECIFE;26155869;ESCOLA MUNICIPAL ENGENHEIRO HENOCH COUTINHO DE MELO;MUNICIPAL;Sim;26/07/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;334;16;11;2;Urbana;0;;
PERNAMBUCO;RECIFE;26157845;ESCOLA MUNICIPAL PROFESSOR JOAO BATISTA LIPPO NETO;MUNICIPAL;Sim;30/07/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;184;8;9;0;Urbana;0;;
PERNAMBUCO;RECIFE;26157888;ESCOLA MUNICIPAL PASTOR JOSE MUNGUBA SOBRINHO;MUNICIPAL;Sim;30/07/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;196;9;8;1;Urbana;0;;
PERNAMBUCO;RECIFE;26158302;ESCOLA MUNICIPAL PROFESSOR JOAO FRANCISCO DE SOUZA;MUNICIPAL;Sim;30/07/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;301;12;9;3;Urbana;0;;
PERNAMBUCO;RECIFE;26158400;ESCOLA MUNICIPAL NOVO MANGUE;MUNICIPAL;Sim;25/03/2022;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;357;16;11;1;Urbana;0;;
PERNAMBUCO;RECIFE;26166640;ESCOLA MUNICIPAL DE AGUA FRIA;MUNICIPAL;Sim;05/08/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;215;14;12;4;Urbana;0;;
PERNAMBUCO;RECIFE;26166658;ESCOLA MUNICIPAL DE CASA AMARELA;MUNICIPAL;Sim;23/02/2022;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;261;12;10;2;Urbana;0;;
PERNAMBUCO;RECIFE;26168120;ESCOLA MUNICIPAL DO SANCHO;MUNICIPAL;Sim;30/07/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;287;14;12;1;Urbana;0;;
PERNAMBUCO;RECIFE;26175398;ESCOLA MUNICIPAL MERCIA DE ALBUQUERQUE FERREIRA;MUNICIPAL;Sim;30/07/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;204;9;6;1;Urbana;0;;
PERNAMBUCO;RECIFE;26177978;ESCOLA MUNICIPAL NOVA MORADA;MUNICIPAL;Sim;29/07/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;9;12;0;0;334;21;18;4;Urbana;0;;
PERNAMBUCO;RECIFE;26212200;ESCOLA MUNICIPAL COMPOSITOR CAPIBA;MUNICIPAL;Sim;16/03/2022;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;21;0;147;8;7;2;Urbana;0;;
PERNAMBUCO;RECIFE;26491710;ESCOLA MUNICIPAL BOLA NA REDE;MUNICIPAL;Sim;30/03/2022;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;371;19;19;1;Urbana;0;;
