TS_SECRETARIO_MUNICIPAL;;;;;;;;;
;;;;;;;;;
VARIÁVEL;TIPO;TAMANHO;DESCRIÇÃO;CÓDIGO DE PREENCHIMENTO;;;;;
;CHAR;;INFORMAÇÕES PESSOAIS E EXPERIÊNCIA PROFISSIONAL;Este mais alto nível de escolaridade é relacionado ao campo educacional?;Regra de dependência: se possui graduação ou escolaridade superior (Q008='C' e/ou Q008='D' e/ou Q008='E' e/ou Q008='F', abre o item Q009.;B;Sim;;
TX_Q010;CHAR;1;INFORMAÇÕES PESSOAIS E EXPERIÊNCIA PROFISSIONAL;Além de Secretário (a) Municipal de Educação neste município, você exerceu alguma outra função na área de educação?;;A;Não;;
;CHAR;;INFORMAÇÕES PESSOAIS E EXPERIÊNCIA PROFISSIONAL;Além de Secretário (a) Municipal de Educação neste município, você exerceu alguma outra função na área de educação?;;B;Sim;;
TX_Q011;CHAR;1;INFORMAÇÕES PESSOAIS E EXPERIÊNCIA PROFISSIONAL;Indique as funções que exerceu: Professor(a) da Educação Básica.;Regra de dependência: se Q010='Sim', abre o bloco de itens Q011 a Q018.;A;Não;;
;CHAR;;INFORMAÇÕES PESSOAIS E EXPERIÊNCIA PROFISSIONAL;Indique as funções que exerceu: Professor(a) da Educação Básica.;Regra de dependência: se Q010='Sim', abre o bloco de itens Q011 a Q018.;B;Sim;;
TX_Q012;CHAR;1;INFORMAÇÕES PESSOAIS E EXPERIÊNCIA PROFISSIONAL;Indique as funções que exerceu: Professor(a) da Educação Superior.;Regra de dependência: se Q010='Sim', abre o bloco de itens Q011 a Q018.;A;Não;;
;CHAR;;INFORMAÇÕES PESSOAIS E EXPERIÊNCIA PROFISSIONAL;Indique as funções que exerceu: Professor(a) da Educação Superior.;Regra de dependência: se Q010='Sim', abre o bloco de itens Q011 a Q018.;B;Sim;;
TX_Q013;CHAR;1;INFORMAÇÕES PESSOAIS E EXPERIÊNCIA PROFISSIONAL;Indique as funções que exerceu: Diretor(a) ou vice-diretor(a) de escola de Educação Básica.;Regra de dependência: se Q010='Sim', abre o bloco de itens Q011 a Q018.;A;Não;;
;CHAR;;INFORMAÇÕES PESSOAIS E EXPERIÊNCIA PROFISSIONAL;Indique as funções que exerceu: Diretor(a) ou vice-diretor(a) de escola de Educação Básica.;Regra de dependência: se Q010='Sim', abre o bloco de itens Q011 a Q018.;B;Sim;;
TX_Q014;CHAR;1;INFORMAÇÕES PESSOAIS E EXPERIÊNCIA PROFISSIONAL;Indique as funções que exerceu: Membro de equipe pedagógica de escola de Educação Básica.;Regra de dependência: se Q010='Sim', abre o bloco de itens Q011 a Q018.;A;Não;;
;CHAR;;INFORMAÇÕES PESSOAIS E EXPERIÊNCIA PROFISSIONAL;Indique as funções que exerceu: Membro de equipe pedagógica de escola de Educação Básica.;Regra de dependência: se Q010='Sim', abre o bloco de itens Q011 a Q018.;B;Sim;;
TX_Q015;CHAR;1;INFORMAÇÕES PESSOAIS E EXPERIÊNCIA PROFISSIONAL;Indique as funções que exerceu: Membro de equipe da Secretaria de Educação ou Órgão Gestor de Educação municipal ou estadual (direção, pedagógico, administrativo etc.).;Regra de dependência: se Q010='Sim', abre o bloco de itens Q011 a Q018.;A;Não;;
;CHAR;;INFORMAÇÕES PESSOAIS E EXPERIÊNCIA PROFISSIONAL;Indique as funções que exerceu: Membro de equipe da Secretaria de Educação ou Órgão Gestor de Educação municipal ou estadual (direção, pedagógico, administrativo etc.).;Regra de dependência: se Q010='Sim', abre o bloco de itens Q011 a Q018.;B;Sim;;
TX_Q016;CHAR;1;INFORMAÇÕES PESSOAIS E EXPERIÊNCIA PROFISSIONAL;Indique as funções que exerceu: Membro de equipe de Instituição de Educação Superior (direção, pedagógico, administrativo etc.).;Regra de dependência: se Q010='Sim', abre o bloco de itens Q011 a Q018.;A;Não;;
