ID_SAEB;ID_REGIAO;ID_UF;ID_MUNICIPIO;ID_AREA;ID_ESCOLA;NOME_ESCOLA;IN_PUBLICA;ID_LOCALIZACAO;ID_TURMA;ID_PROFESSOR;ID_SERIE;SQ_QUESTIONARIO;IN_PREENCHIMENTO_QUESTIONARIO;IN_PREENCHIMENTO_OUTRA_TURMA;TX_Q017;TX_Q018;TX_Q021;TX_Q025;TX_Q031;TX_Q056
2023;2;26;6323766;1;61423739;Casa dos Ferroviários;1;1;1572684;2833676;5;5;1;0;B;C;B;B;C;A
2023;2;26;6323766;1;61423739;Casa dos Ferroviários;1;1;1604132;2884832;5;5;1;0;B;B;D;C;D;B
2023;2;26;6323766;1;61423739;Casa dos Ferroviários;1;1;1714050;3064348;5;5;1;0;C;C;D;D;D;B
