Estado;Município;Rede;INEP;Escola;NOME_CURSO;QTD_INSCRICOES;QTDE_APROVACOES;ANO_CONCLUSAO;
PE;RECIFE;Estadual;26122260;ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL PROFESSOR MOTTA E ALBUQUERQUE;Elaboração de projetos escolares com educação financeira;1; 1 ;2025;
PE;RECIFE;Estadual;26124912;ESCOLA ROBERTO SILVEIRA;Elaboração de projetos escolares com educação financeira;1; 1 ;2025;
PE;RECIFE;Municipal;26119170;ESCOLA MUNICIPAL SENADOR JOSE ERMIRIO DE MORAES;Educação Financeira Pessoal;1; 1 ;2025;
PE;RECIFE;Municipal;26119170;ESCOLA MUNICIPAL SENADOR JOSE ERMIRIO DE MORAES;Formação de Professores do Programa Aprender Valor;1; 1 ;2025;
PE;RECIFE;Municipal;26119170;ESCOLA MUNICIPAL SENADOR JOSE ERMIRIO DE MORAES;Elaboração de projetos escolares com educação financeira;1; 1 ;2025;
PE;RECIFE;Estadual;26125013;ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E ENSINO MEDIO GERCINO DE PONTES;Educação Financeira Pessoal;1; -   ;2025;
