NU_ANO_SAEB;CO_UF;SG_UF;NO_UF;CO_MUNICIPIO;NO_MUNICIPIO;ID_ESCOLA;NO_ESCOLA;TP_TIPO_REDE;TP_LOCALIZACAO;TP_CAPITAL;QTD_ALUNOS_INSE;MEDIA_INSE;INSE_CLASSIFICACAO;PC_NIVEL_1;PC_NIVEL_2;PC_NIVEL_3;PC_NIVEL_4;PC_NIVEL_5;PC_NIVEL_6;PC_NIVEL_7;PC_NIVEL_8
2023;26;PE;Pernambuco;2611606;Recife;26123444;ESCOLA MUNICIPAL CASA DOS FERROVIARIOS;3;1;1;72;4,74;Nível IV;0;11,69;27,36;23,86;27,09;6,49;3,51;
2023;26;PE;Pernambuco;2611606;Recife;26126788;ESCOLA MUNICIPAL PROFESSOR MAURO MOTA;3;1;1;55;4,48;Nível III;0;20,1;31,7;33,47;9,82;4,91;;
2023;26;PE;Pernambuco;2611606;Recife;26212200;ESCOLA MUNICIPAL COMPOSITOR CAPIBA;3;1;1;67;4,83;Nível IV;1,72;11,29;16,88;31,57;23,43;9,37;3,83;1,91
2023;26;PE;Pernambuco;2611606;Recife;26491710;ESCOLA MUNICIPAL BOLA NA REDE;3;1;1;76;4,77;Nível IV;0;5,53;27,57;28,4;28,86;6,64;2,99;
